iter	RMSE
160	4697.494394
161	4695.784728
162	4694.481439
163	4693.52874
164	4692.67942
165	4692.265888
166	4689.535281
167	4688.529637
168	4687.665711
169	4686.725558
170	4685.801118
171	4685.171124
172	4684.392588
173	4681.669228
174	4680.106258
175	4678.042029
176	4677.005455
177	4676.868405
178	4676.020302
179	4674.753064
180	4670.819439
181	4669.368795
182	4666.314417
183	4665.750389
184	4662.863983
185	4662.437284
186	4661.674379
187	4660.260733
188	4656.682115
189	4653.865115
190	4653.643411
191	4651.551212
192	4650.745437
193	4650.043365
194	4648.033272
195	4645.351938
196	4643.935295
197	4643.275414
198	4643.087446
199	4641.51563
200	4639.913508
201	4639.263263
202	4636.914157
203	4634.520286
204	4633.354435
205	4631.087077
206	4628.976046
207	4625.898771
208	4624.378111
209	4623.817229
210	4623.277832
211	4622.048113
212	4620.82657
213	4618.468668
214	4617.948862
215	4615.705048
216	4613.47538
217	4613.334723
218	4610.648708
219	4608.557592
220	4607.66171
221	4606.509638
222	4605.931334
223	4605.400009
224	4604.111347
225	4603.640202
226	4602.759825
227	4601.030804
228	4598.479594
229	4596.263502
230	4595.788971
231	4595.314086
232	4594.854593
233	4592.46519
234	4591.822671
235	4590.991955
236	4590.60822
237	4590.013498
238	4589.263109
239	4588.558428
240	4585.389701
241	4584.718728
242	4584.225997
243	4583.885319
244	4581.942261
245	4581.154171
246	4580.78115
247	4580.218381
248	4580.132805
249	4580.049235
250	4578.219375
251	4576.738142
252	4574.685831
253	4573.245379
254	4572.347386
255	4572.010826
256	4570.819682
257	4570.220767
258	4569.399897
259	4568.392145
260	4568.101423
261	4567.682082
262	4567.003319
263	4566.599306
264	4564.692596
265	4562.808978
266	4561.327928
267	4560.154101
268	4558.622423
269	4557.821286
270	4556.548598
271	4555.531976
272	4553.516715
273	4551.499869
274	4549.011163
275	4547.188338
276	4545.379413
277	4545.04281
278	4543.283381
279	4540.986118
280	4540.040476
281	4538.370865
282	4536.719899
283	4536.348649
284	4535.623796
285	4534.62766
286	4533.084654
287	4530.731637
288	4529.274488
289	4527.802818
290	4527.427816
291	4526.721562
292	4526.12442
293	4525.106367
294	4524.818086
295	4523.315252
296	4522.12074
297	4521.865087
298	4521.618111
299	4521.127486
300	4520.807403
301	4518.440348
302	4517.645795
303	4516.302958
304	4514.933119
305	4514.742612
306	4514.024286
307	4513.778383
308	4513.342005
309	4513.00218
310	4512.442891
311	4512.244898
312	4511.893635
313	4511.124763
314	4509.900589
315	4509.201616
316	4509.03756
317	4508.234791
318	4507.091201
319	4506.072988
320	4505.42058
321	4503.700005
322	4502.088346
323	4501.308644
324	4501.003945
325	4500.253762
326	4499.32977
327	4499.046598
328	4498.205383
329	4496.899751
330	4496.504746
331	4495.76265
332	4494.524416
333	4493.550605
334	4492.821663
335	4491.518314
336	4490.54019
337	4489.689611
338	4489.458052
339	4489.182804
340	4488.338818
341	4487.429505
342	4486.28655
343	4485.091505
344	4484.918372
345	4484.024024
346	4483.692548
347	4483.281611
348	4483.1256
349	4482.281451
350	4481.493217
351	4479.827028
352	4478.839768
353	4478.600614
354	4478.220496
355	4477.58774
356	4477.076801
357	4476.740726
358	4475.754905
359	4475.136231
360	4474.291472
361	4473.189043
362	4472.728774
363	4471.668868
364	4469.965168
365	4469.472971
366	4468.624181
367	4467.551709
368	4467.116582
369	4465.790746
370	4465.259717
371	4463.684488
372	4463.281515
373	4462.685102
374	4462.50383
375	4462.29566
376	4461.725986
377	4461.48207
378	4460.867669
379	4460.51925
380	4458.999821
381	4458.096932
382	4457.807711
383	4457.61028
384	4457.289759
385	4456.132273
386	4455.388427
387	4454.952806
388	4454.777653
389	4454.406381
390	4453.790143
391	4453.031997
392	4452.577095
393	4451.151735
394	4450.305468
395	4449.80239
396	4449.526438
397	4448.826016
398	4447.800769
399	4446.84278
400	4446.47177
401	4446.100961
402	4445.926353
403	4445.532415
404	4444.734789
405	4444.209894
406	4444.004654
407	4443.146024
408	4442.253653
409	4441.910385
410	4441.062825
411	4440.653379
412	4440.14756
413	4439.681906
414	4439.034532
415	4438.36503
416	4437.58064
417	4437.092615
418	4436.683129
419	4435.789722
420	4435.074701
421	4434.482321
422	4434.281028
423	4433.705625
424	4433.401194
425	4433.072865
426	4432.714311
427	4432.414984
428	4432.073773
429	4431.741009
430	4431.578521
431	4430.921282
432	4430.516298
433	4429.998004
434	4429.4836
435	4429.144681
436	4428.533691
437	4428.391439
438	4428.255913
439	4427.629077
440	4427.397393
441	4426.897575
442	4426.292651
443	4426.141764
444	4425.796589
445	4425.227737
446	4424.568997
447	4424.444887
448	4423.666744
449	4423.099884
450	4422.359867
451	4422.110479
452	4421.718235
453	4420.383393
454	4420.267852
455	4419.830362
456	4419.244416
457	4418.400089
458	4417.886185
459	4417.634364
460	4417.398841
461	4417.127386
462	4416.864558
463	4416.388257
464	4416.24607
465	4415.834217
466	4415.232798
467	4413.921359
468	4413.442264
469	4413.197595
470	4412.093799
471	4411.716928
472	4411.021242
473	4410.587773
474	4410.362701
475	4410.173018
476	4409.78964
477	4409.365591
478	4408.823233
479	4408.637923
480	4408.240369
481	4407.761729
482	4407.566223
483	4407.113728
484	4406.718733
485	4405.406129
486	4405.0896
487	4404.676498
488	4404.545284
489	4404.066033
490	4403.468538
491	4402.827747
492	4402.182757
493	4402.024147
494	4401.845538
495	4401.493294
496	4401.216829
497	4400.995112
498	4399.832708
499	4399.390916
500	4399.06743
501	4398.62674
502	4398.014242
503	4397.602481
504	4397.12915
505	4396.472428
506	4396.288463
507	4395.938066
508	4395.8106
509	4395.460582
510	4395.281247
511	4394.934894
512	4394.808103
513	4394.078914
514	4393.204687
515	4392.185482
516	4391.321824
517	4391.237612
518	4390.280576
519	4389.607455
520	4389.000388
521	4388.524907
522	4388.436545
523	4387.928501
524	4387.599678
525	4387.415883
526	4386.967533
527	4386.790864
528	4386.696417
529	4386.108889
530	4385.549226
531	4385.315832
532	4384.928795
533	4384.451377
534	4383.879532
535	4383.319173
536	4383.199226
537	4382.470961
538	4382.2939
539	4381.900356
540	4381.707592
541	4381.392199
542	4381.21365
543	4380.689299
544	4380.185002
545	4379.352663
546	4379.20887
547	4378.24005
548	4377.862516
549	4377.578268
550	4377.380883
551	4377.125813
552	4376.964918
553	4376.563032
554	4375.671075
555	4375.586996
556	4375.380842
557	4375.235686
558	4374.991168
559	4374.506932
560	4374.34182
561	4374.148491
562	4373.923081
563	4373.574967
564	4373.24163
565	4372.952442
566	4372.686815
567	4372.477857
568	4372.239263
569	4372.130137
570	4372.017626
571	4371.699503
572	4371.037797
573	4370.619207
574	4370.276247
575	4370.156862
576	4369.924617
577	4369.554057
578	4369.335227
579	4369.214547
580	4369.005762
581	4368.344314
582	4367.874669
583	4367.759675
584	4367.544277
585	4367.00974
586	4366.312328
587	4365.974004
588	4365.764693
589	4365.417356
590	4365.337368
591	4365.173048
592	4365.115487
593	4364.883894
594	4364.64943
595	4364.290552
596	4363.569274
597	4363.512631
598	4363.40652
599	4362.967373
600	4362.620304
601	4362.031279
602	4361.734907
603	4361.638786
604	4361.289471
605	4361.142011
606	4360.861816
607	4360.417523
608	4359.985473
609	4359.423319
610	4359.025477
611	4358.61744
612	4358.430935
613	4358.18319
614	4357.848299
615	4357.816267
616	4357.693218
617	4357.599567
618	4357.355449
619	4357.235134
620	4356.851375
621	4356.641382
622	4356.278542
623	4355.877973
624	4355.754893
625	4355.646979
626	4355.513683
627	4355.331939
628	4355.255309
629	4354.834239
630	4354.754473
631	4354.403886
632	4353.975487
633	4353.744369
634	4353.641493
635	4352.84872
636	4352.711762
637	4352.41217
638	4352.018392
639	4351.384179
640	4350.742048
641	4350.467475
642	4350.190058
643	4350.13529
644	4350.059046
645	4349.584802
646	4349.212507
647	4348.827932
648	4348.35605
649	4348.259328
650	4348.000565
651	4347.909476
652	4347.88175
653	4347.808414
654	4347.208635
655	4347.180356
656	4347.075183
657	4346.978905
658	4346.801959
659	4346.565469
660	4346.47567
661	4345.806196
662	4345.496647
663	4345.362617
664	4344.978518
665	4344.635479
666	4344.217211
667	4343.865046
668	4343.51715
669	4343.292371
670	4343.098708
671	4342.860975
672	4342.779645
673	4342.437042
674	4342.017556
675	4341.833395
676	4341.764968
677	4341.671832
678	4341.330888
679	4341.1752
680	4340.99688
681	4340.502291
682	4340.387544
683	4340.190436
684	4339.847512
685	4339.537554
686	4339.296483
687	4339.042751
688	4338.853628
689	4338.735735
690	4338.69426
691	4338.530805
692	4338.272146
693	4338.211079
694	4338.038716
695	4337.86368
696	4337.800328
697	4337.474876
698	4337.033988
699	4336.846742
700	4336.445022
701	4336.368879
702	4336.225989
703	4335.982826
704	4335.857892
705	4335.773585
706	4335.587231
707	4335.553819
708	4335.39205
709	4335.274947
710	4335.070035
711	4334.946443
712	4334.693594
713	4334.410397
714	4334.308405
715	4334.216215
716	4334.127672
717	4333.971368
718	4333.85633
719	4333.721472
720	4333.688736
721	4333.52492
722	4333.329524
723	4333.044437
724	4332.944003
725	4332.652652
726	4332.409554
727	4332.106332
728	4332.069362
729	4331.614594
730	4331.464336
731	4331.192394
732	4330.94542
733	4330.819505
734	4330.495848
735	4330.430639
736	4329.813516
737	4329.496332
738	4329.278266
739	4328.975774
740	4328.628271
741	4328.383155
742	4328.216555
743	4328.051555
744	4327.690839
745	4327.502149
746	4327.294056
747	4327.034139
748	4326.930029
749	4326.631729
750	4326.23816
751	4326.059211
752	4325.878817
753	4325.750031
754	4325.605704
755	4325.318649
756	4325.124619
757	4325.050718
758	4324.748846
759	4324.580736
760	4324.292613
761	4323.983362
762	4323.86488
763	4323.809736
764	4323.750942
765	4323.682319
766	4323.498509
767	4323.348798
768	4323.270207
769	4323.201959
770	4323.090815
771	4322.873748
772	4322.841632
773	4322.718312
774	4322.410137
775	4322.241128
776	4322.111659
777	4322.048311
778	4321.806753
779	4321.772918
780	4321.65794
781	4321.435489
782	4321.230862
783	4321.135122
784	4321.034117
785	4320.725072
786	4320.493737
787	4320.403872
788	4320.323688
789	4320.262662
790	4320.010578
791	4319.923216
792	4319.54235
793	4319.371388
794	4319.353048
795	4319.149183
796	4318.981682
797	4318.777253
798	4318.743636
799	4318.567272
800	4318.458819
801	4318.362646
802	4318.025709
803	4317.927261
804	4317.744685
805	4317.687795
806	4317.519345
807	4317.335451
808	4316.775658
809	4316.623483
810	4316.465018
811	4316.404738
812	4316.346567
813	4316.144147
814	4315.68216
815	4315.641325
816	4315.53603
817	4315.449171
818	4315.308605
819	4315.224413
820	4315.094831
821	4314.911192
822	4314.768371
823	4314.359124
824	4314.328242
825	4314.058829
826	4313.970692
827	4313.881545
828	4313.791627
829	4313.78303
830	4313.655109
831	4313.593015
832	4313.530354
833	4313.481001
834	4313.412914
835	4313.327961
836	4313.164756
837	4313.103269
838	4312.888168
839	4312.498561
840	4312.420903
841	4312.257846
842	4311.977497
843	4311.891045
844	4311.738374
845	4311.663116
846	4311.496486
847	4311.441149
848	4311.395432
849	4311.145051
850	4311.067546
851	4310.968379
852	4310.900718
853	4310.756853
854	4310.711983
855	4310.668971
856	4310.595276
857	4310.401938
858	4310.246561
859	4309.812384
860	4309.772866
861	4309.71669
862	4309.673813
863	4309.165855
864	4309.128143
865	4309.064765
866	4309.040058
867	4309.002461
868	4308.923399
869	4308.912153
870	4308.703764
871	4308.600584
872	4308.53197
873	4308.390079
874	4308.336729
875	4308.229986
876	4308.166283
877	4308.129718
878	4308.116399
879	4308.067252
880	4308.03439
881	4307.995781
882	4307.947498
883	4307.685606
884	4307.637571
885	4307.530336
886	4307.499575
887	4307.350985
888	4307.284282
889	4307.14234
890	4307.089001
891	4306.819721
892	4306.789942
893	4306.730809
894	4306.55475
895	4306.47692
896	4306.377374
897	4306.295275
898	4306.103092
899	4306.04817
900	4305.989939
901	4305.752072
902	4305.542321
903	4305.440624
904	4305.122737
905	4305.064983
906	4304.976017
907	4304.845487
908	4304.797696
909	4304.748312
910	4304.71549
911	4304.502149
912	4304.324511
913	4304.278595
914	4304.233244
915	4304.202539
916	4303.96331
917	4303.90611
918	4303.838441
919	4303.829063
920	4303.715505
921	4303.487991
922	4303.307387
923	4303.296768
924	4302.555426
925	4302.54666
926	4302.392221
927	4302.357572
928	4302.272368
929	4302.133942
930	4301.952776
931	4301.862894
932	4301.810723
933	4301.674363
934	4301.639848
935	4301.630449
936	4301.290513
937	4301.16053
938	4300.900357
939	4300.872742
940	4300.601479
941	4300.569219
942	4300.534436
943	4300.519243
944	4299.86739
945	4299.835684
946	4299.808258
947	4299.793999
948	4299.624042
949	4299.418621
950	4298.947448
951	4298.917004
952	4298.853387
953	4298.84429
954	4298.59924
955	4298.550461
956	4298.471678
957	4298.31235
958	4298.237573
959	4298.187095
960	4298.172329
961	4298.160453
962	4298.021736
963	4297.902577
964	4297.852104
965	4297.762457
966	4297.652398
967	4297.505719
968	4297.311871
969	4296.914028
970	4296.872195
971	4296.860222
972	4296.852119
973	4296.629416
974	4296.572326
975	4296.39014
976	4296.338338
977	4296.137331
978	4296.086988
979	4295.946225
980	4295.937796
981	4295.75878
982	4295.585853
983	4295.50999
984	4295.39301
985	4295.264567
986	4295.253163
987	4295.184898
988	4295.146831
989	4295.0044
990	4294.947544
991	4294.753297
992	4294.746125
993	4294.617642
994	4294.251296
995	4294.096941
996	4294.087498
997	4293.933738
998	4293.879071
999	4293.863223
